eta,geometry_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
0,5799,9680.9266300000,0.2000000000,0.3500000000,0.4500000000,3.0000000000,1.1000000000,1.5500000000,25,0.2000000000,12,0.1500000000,16,0.2000000000
0,7235,9625.9924800000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,0.7000000000,1.9000000000,25,0.2000000000,12,0.1500000000,25,0.2000000000
0,7236,9605.3057040000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,0.8000000000,1.8000000000,25,0.2000000000,16,0.2500000000,25,0.2000000000
0,7237,9447.7782000000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,0.9000000000,1.7000000000,25,0.2000000000,16,0.2000000000,16,0.1000000000
0,7238,9444.2242800000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,1.0000000000,1.6000000000,25,0.2000000000,12,0.1000000000,25,0.2500000000
0,7240,9412.2390000000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,1.2000000000,1.4000000000,25,0.2000000000,20,0.2000000000,20,0.2000000000
0,7355,9361.4483600000,0.2000000000,0.4000000000,0.3500000000,3.0000000000,0.7000000000,1.9000000000,20,0.1500000000,12,0.2000000000,25,0.2500000000
0,7358,9250.3883600000,0.2000000000,0.4000000000,0.3500000000,3.0000000000,1.0000000000,1.6000000000,20,0.1500000000,16,0.2000000000,20,0.2000000000
0,7359,9192.7358800000,0.2000000000,0.4000000000,0.3500000000,3.0000000000,1.1000000000,1.5000000000,20,0.1500000000,12,0.1000000000,16,0.1500000000
0,7360,9160.3557200000,0.2000000000,0.4000000000,0.3500000000,3.0000000000,1.2000000000,1.4000000000,20,0.1500000000,12,0.1000000000,20,0.2500000000
0,9039,9144.0755000000,0.2000000000,0.4500000000,0.3000000000,3.0000000000,1.1000000000,1.4500000000,25,0.2500000000,20,0.2500000000,20,0.2000000000
1,2541,12649.6851360000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.3000000000,1.9500000000,28,0.1000000000,12,0.2500000000,12,0.1000000000
1,2542,12636.8910240000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.4000000000,1.8500000000,28,0.1000000000,12,0.2500000000,12,0.1000000000
1,2543,12573.1573920000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.5000000000,1.7500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
1,2544,12562.7325600000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.6000000000,1.6500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
1,2545,12478.3861920000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.7000000000,1.5500000000,28,0.1000000000,12,0.2500000000,16,0.2500000000
1,2546,12454.2195360000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.8000000000,1.4500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
1,2547,12448.5332640000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,0.9000000000,1.3500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
1,2549,12414.0602400000,0.2000000000,0.2500000000,0.6000000000,2.5000000000,1.1000000000,1.1500000000,28,0.1000000000,12,0.2000000000,12,0.2000000000
1,2661,11715.2692460000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.3000000000,1.9500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
1,2662,11704.8444140000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.4000000000,1.8500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
1,2663,11694.4195820000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.5000000000,1.7500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
1,2664,11606.2823660000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.6000000000,1.6500000000,25,0.1000000000,12,0.2500000000,16,0.2500000000
1,2665,11581.1679980000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.7000000000,1.5500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2666,11575.4817260000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.8000000000,1.4500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2667,11569.7954540000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,0.9000000000,1.3500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2668,11505.4695020000,0.2000000000,0.2500000000,0.6500000000,2.5000000000,1.0000000000,1.2500000000,25,0.1000000000,12,0.2500000000,12,0.2000000000
1,2902,11417.7291540000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.4000000000,1.8500000000,28,0.1500000000,12,0.2500000000,16,0.2500000000
1,2903,11390.7193620000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.5000000000,1.7500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,2904,11385.0330900000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.6000000000,1.6500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,2905,11379.3468180000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.7000000000,1.5500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,2906,11307.9130260000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.8000000000,1.4500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
1,2907,11305.7806740000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.9000000000,1.3500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
1,2908,11268.4645140000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,1.0000000000,1.2500000000,28,0.1500000000,12,0.2500000000,12,0.2500000000
1,3141,11093.5790860000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.3000000000,1.9500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3142,11087.8928140000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.4000000000,1.8500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3143,11082.2065420000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.5000000000,1.7500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3144,11076.5202700000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.6000000000,1.6500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3145,11001.5325580000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.7000000000,1.5500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
1,3146,10999.4002060000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.8000000000,1.4500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
1,3147,10959.9516940000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.9000000000,1.3500000000,20,0.1000000000,12,0.2500000000,12,0.2500000000
1,3622,9403.8341840000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.4000000000,1.8000000000,20,0.1000000000,12,0.2500000000,28,0.2000000000
1,3623,9107.0966720000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.5000000000,1.7000000000,20,0.1000000000,12,0.2500000000,25,0.2000000000
1,3625,8935.1906000000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.7000000000,1.5000000000,20,0.1000000000,12,0.1500000000,16,0.1000000000
1,3628,8864.1122000000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,1.0000000000,1.2000000000,20,0.1000000000,20,0.2500000000,20,0.2000000000
1,5423,8730.6496720000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.5000000000,1.6500000000,25,0.2000000000,12,0.2500000000,25,0.2000000000
1,5424,8581.8811000000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.6000000000,1.5500000000,25,0.2000000000,12,0.2000000000,20,0.1500000000
1,5425,8546.4899800000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.7000000000,1.4500000000,25,0.2000000000,12,0.1500000000,25,0.2500000000
1,5427,8471.1172600000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.9000000000,1.2500000000,25,0.2000000000,12,0.1000000000,20,0.2000000000
1,5428,8428.6676600000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,1.0000000000,1.1500000000,25,0.2000000000,20,0.2500000000,16,0.1500000000
1,7224,8412.9312000000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,0.6000000000,1.5000000000,16,0.1000000000,12,0.2000000000,16,0.1000000000
1,7225,8408.7849600000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,0.7000000000,1.4000000000,16,0.1000000000,12,0.1500000000,25,0.2500000000
1,7226,8316.9753600000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,0.8000000000,1.3000000000,16,0.1000000000,16,0.2000000000,20,0.2000000000
1,7228,8273.1436800000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,1.0000000000,1.1000000000,16,0.1000000000,20,0.2500000000,20,0.2500000000
