algorithm,trial,evaluations,best_cost,best_evaluation,valid,FS_OT,FS_SL,FS_BC,recoveries,tb,TBase,Base,wall_height,fc
HCA,4,5000,8538.4189200000,1304,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,5,5000,8538.4189200000,1232,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,6,5000,8677.1052200000,2435,True,2.7054525852,1.9190488085,3.0766082489,0,0.4500000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,7,5000,8540.1958800000,2692,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,8,5000,8540.1958800000,2526,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,9,5000,8677.1052200000,3563,True,2.7054525852,1.9190488085,3.0766082489,0,0.4500000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,10,5000,8806.0710360000,4219,True,2.7063806560,1.9160007097,3.0924759036,0,0.5000000000,0.3500000000,3.0000000000,5.0000000000,320.0000000000
HCA,11,5000,8540.1958800000,3909,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,12,5000,8540.1958800000,4875,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,13,5000,8627.3597200000,3469,True,2.6974491607,1.9099881702,3.1010923272,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,14,5000,8608.0412000000,771,True,2.8312723419,2.0676454468,2.6746411956,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,15,5000,8781.1084700000,3689,True,2.7086015022,1.9193124894,3.0777110684,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,16,5000,8908.6700100000,2951,True,2.7443722234,1.9560824043,2.9787735370,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,17,5000,8540.1958800000,4322,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,18,5000,8538.4189200000,2935,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,19,5000,8540.1958800000,2641,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,20,5000,8538.4189200000,1455,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
