trial,seed,H,fc,method,initial_quantity_price,initial_price_hex,first_feasible_evaluation,first_feasible_price,final_valid,final_price,final_price_hex,best_evaluation,evaluations
14,142358,5,320,HCA,38041.6588800000,7F828B153593E240,33,31248.1324160000,True,9148.6245000000,2DB29DEF4FDEC140,3612,5000
15,142359,5,320,HCA,38041.6588800000,7F828B153593E240,31,27067.2997080000,True,9313.5206000000,265305A3C230C240,3834,5000
16,142360,5,320,HCA,38041.6588800000,7F828B153593E240,12,29502.1744800000,True,9539.3187200000,4A24D1CBA8A1C240,3024,5000
17,142361,5,320,HCA,38041.6588800000,7F828B153593E240,14,25975.4589490000,True,9130.4174142857,04D1D46D35D5C140,2306,5000
18,142362,5,320,HCA,38041.6588800000,7F828B153593E240,11,30512.3388720000,True,9328.4520000000,E5D022DB3938C240,3225,5000
19,142363,5,320,HCA,38041.6588800000,7F828B153593E240,14,28918.5163280000,True,12633.6327900000,9E4143FFD0ACC840,1602,5000
20,142364,5,320,HCA,38041.6588800000,7F828B153593E240,36,25312.3346850000,True,11434.1539360000,D7C22CB41355C640,3003,5000
21,142365,5,320,HCA,38041.6588800000,7F828B153593E240,14,29667.1020000000,True,9148.6245000000,2DB29DEF4FDEC140,3141,5000
22,142366,5,320,HCA,38041.6588800000,7F828B153593E240,4,29930.0109400000,True,9330.9706250000,D7A3703D7C39C240,4404,5000
23,142367,5,320,HCA,38041.6588800000,7F828B153593E240,104,21820.0879885714,True,9161.8782442857,860A4F6AF0E4C140,1641,5000
24,142368,5,320,HCA,38041.6588800000,7F828B153593E240,23,31219.6927600000,True,10048.1667200000,CCB9145715A0C340,3230,5000
25,142369,5,320,HCA,38041.6588800000,7F828B153593E240,14,26003.9826520000,True,9993.0548840000,895C70068784C340,3951,5000
26,142370,5,320,HCA,38041.6588800000,7F828B153593E240,61,25591.5911650000,True,9146.6074942857,D36C5FC24DDDC140,1667,5000
27,142371,5,320,HCA,38041.6588800000,7F828B153593E240,8,28596.3792000000,True,9219.3721880000,FC3BDBA3AF01C240,3541,5000
28,142372,5,320,HCA,38041.6588800000,7F828B153593E240,37,22805.1973100000,True,9148.6245000000,2DB29DEF4FDEC140,840,5000
29,142373,5,320,HCA,38041.6588800000,7F828B153593E240,6,30322.5204640000,True,9649.4330857143,9C495A6FB7D8C240,4361,5000
30,142374,5,320,HCA,38041.6588800000,7F828B153593E240,36,24344.5974800000,True,10464.8212500000,EC51B81E6970C440,4603,5000
