eta,part,DB,spacing,depth,As,moment,fc,fs,legacy_flexure,selected
1,1,25,0.2000000000,0.2125000000,24.5436926062,4.0546635299,59.6521291505,876.6132059264,True,False
1,1,25,0.2500000000,0.2125000000,19.6349540849,4.0546635299,64.5576051878,1083.8709151974,True,False
1,1,28,0.1000000000,0.2110000000,61.5752160104,4.0546635299,45.2399666137,371.3990280954,True,False
1,1,28,0.1500000000,0.2110000000,41.0501440069,4.0546635299,50.9659821946,543.2140622939,True,False
1,1,28,0.2000000000,0.2110000000,30.7876080052,4.0546635299,55.8917701211,712.5189721346,True,False
1,1,28,0.2500000000,0.2110000000,24.6300864041,4.0546635299,60.2813949327,880.2224791202,True,False
1,2,12,0.1000000000,0.2190000000,11.3097335529,3.9756443653,74.2382252517,1746.6083085356,False,False
1,2,12,0.1500000000,0.2190000000,7.5398223686,3.9756443653,87.3891526610,2582.9225367658,False,False
1,2,12,0.2000000000,0.2190000000,5.6548667765,3.9756443653,98.5215304614,3413.9039472629,False,False
1,2,12,0.2500000000,0.2190000000,4.5238934212,3.9756443653,108.3515649869,4241.4861858681,False,False
1,2,16,0.1000000000,0.2170000000,20.1061929830,3.9756443653,60.6408943031,1016.4499613920,True,False
1,2,16,0.1500000000,0.2170000000,13.4041286553,3.9756443653,70.5325853036,1497.7920884262,True,False
1,2,16,0.2000000000,0.2170000000,10.0530964915,3.9756443653,78.9315226947,1975.0534674680,False,False
1,2,16,0.2500000000,0.2170000000,8.0424771932,3.9756443653,86.3605083062,2449.7162660230,False,False
1,2,20,0.1000000000,0.2150000000,31.4159265359,3.9756443653,52.7574723154,671.9747603928,True,False
1,2,20,0.1500000000,0.2150000000,20.9439510239,3.9756443653,60.6723738823,987.2167199530,True,False
1,2,20,0.2000000000,0.2150000000,15.7079632679,3.9756443653,67.4181484584,1299.1292165845,True,False
1,2,20,0.2500000000,0.2150000000,12.5663706144,3.9756443653,73.3975597845,1608.9223310301,True,True
1,2,25,0.1000000000,0.2125000000,49.0873852123,3.9756443653,46.7692151381,446.8967199915,True,False
1,2,25,0.1500000000,0.2125000000,32.7249234749,3.9756443653,53.0805258307,654.5751719546,True,False
1,2,25,0.2000000000,0.2125000000,24.5436926062,3.9756443653,58.4896007726,859.5293609265,True,False
1,2,25,0.2500000000,0.2125000000,19.6349540849,3.9756443653,63.2994766162,1062.7479357694,True,False
1,2,28,0.1000000000,0.2110000000,61.5752160104,3.9756443653,44.3583091482,364.1610314668,True,False
1,2,28,0.1500000000,0.2110000000,41.0501440069,3.9756443653,49.9727334799,532.6276545382,True,False
1,2,28,0.2000000000,0.2110000000,30.7876080052,3.9756443653,54.8025253652,698.6330717202,True,False
1,2,28,0.2500000000,0.2110000000,24.6300864041,3.9756443653,59.1066031312,863.0682949292,True,False
