eta,geometry_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
1,2907,12010.4193540000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.9000000000,1.3500000000,25,0.1000000000,12,0.2500000000,12,0.2000000000
1,2908,11973.1031940000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,1.0000000000,1.2500000000,25,0.1000000000,12,0.2500000000,12,0.2500000000
1,3141,11920.0629260000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.3000000000,1.9500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,3142,11914.3766540000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.4000000000,1.8500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,3143,11908.6903820000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.5000000000,1.7500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,3144,11903.0041100000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.6000000000,1.6500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
1,3145,11828.0163980000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.7000000000,1.5500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
1,3146,11825.8840460000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.8000000000,1.4500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
1,3147,11786.4355340000,0.2000000000,0.2500000000,0.8500000000,2.5000000000,0.9000000000,1.3500000000,28,0.1500000000,12,0.2500000000,12,0.2500000000
1,3261,11361.6468360000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.3000000000,1.9500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3262,11355.9605640000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.4000000000,1.8500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3263,11350.2742920000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.5000000000,1.7500000000,20,0.1000000000,12,0.2500000000,12,0.1500000000
1,3264,11271.7326600000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.6000000000,1.6500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
1,3265,11269.6003080000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.7000000000,1.5500000000,20,0.1000000000,12,0.2500000000,12,0.2000000000
1,3266,11228.0194440000,0.2000000000,0.2500000000,0.9000000000,2.5000000000,0.8000000000,1.4500000000,20,0.1000000000,12,0.2500000000,12,0.2500000000
1,3622,9403.8341840000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.4000000000,1.8000000000,20,0.1000000000,12,0.2500000000,28,0.2000000000
1,3623,9107.0966720000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.5000000000,1.7000000000,20,0.1000000000,12,0.2500000000,25,0.2000000000
1,3625,8918.3094800000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.7000000000,1.5000000000,20,0.1000000000,12,0.1500000000,25,0.2500000000
1,3627,8839.2347600000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.9000000000,1.3000000000,20,0.1000000000,12,0.1000000000,20,0.2000000000
1,5423,8730.6496720000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.5000000000,1.6500000000,25,0.2000000000,12,0.2500000000,25,0.2000000000
1,5424,8551.0804600000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.6000000000,1.5500000000,25,0.2000000000,12,0.2000000000,16,0.1000000000
1,5425,8546.4899800000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.7000000000,1.4500000000,25,0.2000000000,12,0.1500000000,25,0.2500000000
1,5427,8471.1172600000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.9000000000,1.2500000000,25,0.2000000000,12,0.1000000000,20,0.2000000000
1,5428,8428.6676600000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,1.0000000000,1.1500000000,25,0.2000000000,20,0.2500000000,16,0.1500000000
1,7224,8396.0500800000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,0.6000000000,1.5000000000,16,0.1000000000,12,0.2000000000,25,0.2500000000
1,7226,8316.9753600000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,0.8000000000,1.3000000000,16,0.1000000000,16,0.2000000000,20,0.2000000000
1,7228,8273.1436800000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,1.0000000000,1.1000000000,16,0.1000000000,20,0.2500000000,20,0.2500000000
