algorithm,trial,evaluations,best_cost,best_evaluation,valid,FS_OT,FS_SL,FS_BC,recoveries,tb,TBase,Base,wall_height,fc
BA,13,5000,4985.5646400000,520,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,14,5000,4985.5646400000,523,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,15,5000,4985.5646400000,147,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,16,5000,4985.5646400000,272,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,17,5000,4985.5646400000,503,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,18,5000,4985.5646400000,293,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,19,5000,4985.5646400000,535,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,20,5000,4985.5646400000,257,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,1,5000,4985.5646400000,2521,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,2,5000,4985.5646400000,734,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,3,5000,4985.5646400000,3651,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,4,5000,4985.5646400000,1528,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,5,5000,4985.5646400000,777,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,6,5000,4985.5646400000,1804,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,7,5000,4985.5646400000,586,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,8,5000,4985.5646400000,1324,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,9,5000,4985.5646400000,1785,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,10,5000,4985.5646400000,642,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,11,5000,5068.7828000000,621,True,2.0177306300,1.9647838682,3.2369064455,0,0.3500000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,12,5000,4985.5646400000,2597,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,13,5000,4985.5646400000,2214,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,14,5000,4985.5646400000,4019,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,15,5000,4985.5646400000,1416,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,16,5000,4985.5646400000,3428,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,17,5000,4985.5646400000,511,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,18,5000,4985.5646400000,128,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
HCA,19,5000,4985.5646400000,3352,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
